Semester Description,Program Start Date,Program Tuition Fee,Program Title,Primary Contact City
Fall 2024,2024-09-12,327.0,Pastels: Beginning and Beyond with Marlene Bezich | Thursdays 6-9pm | 9/12-10/17 | Fall 2024,Melville
Fall 2024,2024-09-10,280.0,Intermediate Watercolor with Liz Fusco | Tues 9am-11am | 9/10-10/15 | Fall 2024,Central Islip
Fall 2024,2024-09-12,473.0,Beyond Beginner 202 Ceramics with Amy Tischler | Thurs 6-9 pm | 9/12 - 10/17 | Fall 2024,Bayville
Fall 2024,2024-09-12,397.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 9/12-10/17| Fall 2024,Plainview
Fall 2024,2024-09-14,448.0,Atelier Drawing and Painting with Bill Graf | Saturdays 10am-1pm | 9/14-10/19 | Fall 2024,Huntington Station
Fall 2024,2024-09-10,245.0,Creative Cartooning & Realistic Drawing with Lori Hochberg | Ages 8-12 |Tues |5:30-7:00pm| 9/12-10/17 | Fall 2024,plainview
Fall 2024,2024-09-12,473.0,Beyond Beginner 202 Ceramics with Amy Tischler | Thurs 6-9 pm | 9/12 - 10/17 | Fall 2024,North Bellmore
Fall 2024,2024-09-12,430.0,Abstract Painting: Acrylics with Kevin Larkin |Thursdays 2-5pm| 9/12-10-17 | Fall 2024,Northport
Fall 2024,2024-09-13,430.0,The World of Watercolor with Ross Barbera | Fri 10am-1pm | 9/13-10/18 | Fall 2024,Glen Head
Fall 2024,2024-09-12,397.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 9/12-10/17| Fall 2024,South Setauket
Fall 2024,2024-09-13,430.0,The World of Watercolor with Ross Barbera | Fri 10am-1pm | 9/13-10/18 | Fall 2024,Dix Hills
Fall 2024,2024-09-12,397.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 9/12-10/17| Fall 2024,syosset
Fall 2024,2024-09-10,280.0,Pastels: Beginning and Beyond with Marlene Bezich | Tuesdays 1:30-3:30pm | 9/10-10/15 | Fall 2024,Highland Beach
Fall 2024,2024-09-11,448.0,Handbuilding - Plan to Technique with Laura Peters | Wed 1-4pm | 9/11-10/16| Fall 2024,Seaford
Fall 2024,2024-09-10,280.0,Pastels: Beginning and Beyond with Marlene Bezich | Tuesdays 1:30-3:30pm | 9/10-10/15 | Fall 2024,Deer Park
Fall 2024,2024-09-10,280.0,Pastels: Beginning and Beyond with Marlene Bezich | Tuesdays 1:30-3:30pm | 9/10-10/15 | Fall 2024,Huntington Station
Fall 2024,2024-09-10,448.0,Beginners 101 Ceramics with Amy Tischler | Tues 6-9 pm | 9/10 - 10/15 | Fall 2024,Melville
Fall 2024,2024-09-10,280.0,Pastels: Beginning and Beyond with Marlene Bezich | Tuesdays 1:30-3:30pm | 9/10-10/15 | Fall 2024,Nesconset
Fall 2024,2024-09-10,280.0,Fundamentals of Drawing with Liz Fusco | Tuesdays 11:30am-1:30pm | 9/10-10/15 | Fall 2024,Nesconset
Fall 2024,2024-09-12,473.0,Beyond Beginner 202 Ceramics with Amy Tischler | Thurs 6-9 pm | 9/12 - 10/17 | Fall 2024,syosset
Fall 2024,2024-09-10,448.0,Beginners 101 Ceramics with Amy Tischler | Tues 6-9 pm | 9/10 - 10/15 | Fall 2024,Melville
Fall 2024,2024-09-10,448.0,Beginners 101 Ceramics with Amy Tischler | Tues 6-9 pm | 9/10 - 10/15 | Fall 2024,Melville
Fall 2024,2024-09-12,448.0,All Levels Ceramics with Ruth Lowenberg | Thursdays 9:30am - 12:30pm | 9/12-10/17 | Fall 2024,Huntington
Fall 2024,2024-09-12,448.0,All Levels Ceramics with Ruth Lowenberg | Thursdays 9:30am - 12:30pm | 9/12-10/17 | Fall 2024,COLD SPRING HARBOR
Fall 2024,2024-09-13,430.0,The World of Watercolor with Ross Barbera | Fri 10am-1pm | 9/13-10/18 | Fall 2024,Greenlawn
Fall 2024,2024-10-29,150.0,Intermediate Watercolor with Liz Fusco | Tues 9am-11am | 10/29-11/19 | Fall 2024,West Islip
Fall 2024,2024-11-26,194.0,Intermediate Watercolor with Liz Fusco | Tues 9am-11am | 11/26-12/17 | Fall 2024,West Islip
Fall 2024,2024-09-14,215.0,Young Artists Ceramic Hand Building with Rachel Woelfel | Ages 6-10 | Saturday 9:30-11am | 9/14 - 10/19 | Fall 2024,
Fall 2024,2024-09-12,473.0,Beyond Beginner 202 Ceramics with Amy Tischler | Thurs 6-9 pm | 9/12 - 10/17 | Fall 2024,West Babylon
Fall 2024,2024-10-24,263.0,Wheel Throwing for Teens with Ruth Lowenberg | Thursdays 3:30pm-5:00pm | 10/24-12/12 | Fall 2024,Huntington
Fall 2024,2024-11-26,194.0,Fundamentals of Drawing with Liz Fusco | Tuesdays 11:30am-1:30pm | 11/26-12/17 | Fall 2024,Wantagh
Fall 2024,2024-09-14,448.0,Intermediate Wheel Throwing with Jesus Antoshka | Saturdays 9:30am-12:30pm  | 9/14-10/19 | Fall 2024,Holbrook
Fall 2024,2024-09-10,280.0,Beginner Watercolor with Liz Fusco | Tues 6:30-8:30pm | 9/10-10/15 | Fall 2024,Sayville
Fall 2024,2024-09-10,280.0,Beginner Watercolor with Liz Fusco | Tues 6:30-8:30pm | 9/10-10/15 | Fall 2024,Old Bethpage
Fall 2024,2024-09-11,448.0,Handbuilding - Plan to Technique with Laura Peters | Wed 1-4pm | 9/11-10/16| Fall 2024,Muttontown
Fall 2024,2024-11-09,60.0,Color Theory Workshop with Liz Fusco | Saturday 10am-2pm | 11/9 | Fall 2024,West Islip
Fall 2024,2024-10-22,194.0,Pastels: Beginning and Beyond with Marlene Bezich | Tuesdays 1:30-3:30pm | 10/22-11/19 | Fall 2024,FLORAL PARK
Fall 2024,2024-09-12,430.0,Abstract Painting: Acrylics with Kevin Larkin |Thursdays 2-5pm| 9/12-10-17 | Fall 2024,Plainview
Fall 2024,2024-09-12,440.0,Introduction to Blacksmith Jewelry with Nicholas Colombo | Thursdays 6-9pm | 9/12-9/26 | Fall 2024,West Babylon
Fall 2024,2024-09-11,175.0,Open Studio w/Model - Short Pose | Linda Gottlieb | Weds 6pm-9pm | 9/11-10/16 | Fall 2024,Huntington Station
Fall 2024,2024-09-11,465.0,Wax Carving Intensive with Jen Salta| Wednesday 6-9 pm | 9/11 - 10/16 | Fall 2024,Bethpage
Fall 2024,2024-09-12,430.0,Abstract Painting: Acrylics with Kevin Larkin |Thursdays 2-5pm| 9/12-10-17 | Fall 2024,Oyster Bay
Fall 2024,2024-09-10,448.0,Beginners 101 Ceramics with Amy Tischler | Tues 6-9 pm | 9/10 - 10/15 | Fall 2024,Northport
Fall 2024,2024-11-02,395.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 11/2-11/23 | Fall 2024,Hauppauge
Fall 2024,2024-09-14,280.0,Teen Anime and Manga Illustration with Zach Schrage | Ages 13-18 | Sat 1:00-3:00pm | 9/14-10/19 | Fall 2024,Islip
Fall 2024,2024-10-29,690.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5pm | 10/29-12/17 | Fall 2024,DIX HILLS
Fall 2024,2024-10-29,690.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5pm | 10/29-12/17 | Fall 2024,Merrick
Fall 2024,2024-10-29,690.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5pm | 10/29-12/17 | Fall 2024,Dix Hills
Fall 2024,2024-10-29,690.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5pm | 10/29-12/17 | Fall 2024,Roslyn
Fall 2024,2024-10-29,690.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5pm | 10/29-12/17 | Fall 2024,Plainview
Fall 2024,2024-10-24,345.0,Abstract Painting: Acrylics with Kevin Larkin |Thursdays 2-5pm| 10/24-11/21 | Fall 2024,Plainview
Fall 2024,2024-09-14,448.0,Atelier Drawing and Painting with Bill Graf | Saturdays 10am-1pm | 9/14-10/19 | Fall 2024,Dix Hills
Fall 2024,2024-10-29,690.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5pm | 10/29-12/17 | Fall 2024,Huntington
Fall 2024,2024-10-29,528.0,Intermediate Silversmithing with Marla Mencher | Tues 9:30am-12:30 pm | 10/29-12/17 | Fall 2024,Centerport
Fall 2024,2024-10-24,345.0,Abstract Painting: Acrylics with Kevin Larkin |Thursdays 2-5pm| 10/24-11/21 | Fall 2024,Plainview
Fall 2024,2024-09-14,448.0,Intermediate Wheel Throwing with Jesus Antoshka | Saturdays 9:30am-12:30pm  | 9/14-10/19 | Fall 2024,Northport
Fall 2024,2024-10-26,292.0,Intermediate & Advanced Wheel Throwing with Jesus Antoshka | Saturdays 9:30am-12:30pm  | 10/26-11/16 | Fall 2024,Northport
Fall 2024,2024-11-23,225.0,Intermediate & Advanced  Wheel Throwing with Jesus Antoshka | Saturdays 9:30am-12:30pm  | 11/23-12/21 | Fall 2024,Northport
Fall 2024,2024-09-14,280.0,Teen Anime and Manga Illustration with Zach Schrage | Ages 13-18 | Sat 1:00-3:00pm | 9/14-10/19 | Fall 2024,Melville
Fall 2024,2024-09-12,327.0,Pastels: Beginning and Beyond with Marlene Bezich | Thursdays 6-9pm | 9/12-10/17 | Fall 2024,North Babylon
Fall 2024,2024-09-12,270.0,Figure Construction & Anatomy with Stu Yellin | Thursdays 6:00-9:00pm | 9/12-10/24 | Fall 2024,Deer Park
Fall 2024,2024-11-02,395.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 11/2-11/23 | Fall 2024,Deer Park
Fall 2024,2024-09-14,448.0,Atelier Drawing and Painting with Bill Graf | Saturdays 10am-1pm | 9/14-10/19 | Fall 2024,Halesite
Fall 2024,2024-09-13,395.0,Introduction to Metalsmithing with Rachel Kalina |Fridays 12pm-3pm | 9/13 - 9/27 | Fall 2024,West Sayville
Fall 2024,2024-09-12,440.0,Introduction to Blacksmith Jewelry with Nicholas Colombo | Thursdays 6-9pm | 9/12-9/26 | Fall 2024,NORTHPORT
Fall 2024,2024-09-10,280.0,Intermediate Watercolor with Liz Fusco | Tues 9am-11am | 9/10-10/15 | Fall 2024,Amityville
Fall 2024,2024-09-13,430.0,Introduction to Acrylic Painting with Rita Broughton | Fri 10am-12pm| 9/13-10/18| Fall 2024,Merrick
Fall 2024,2024-09-10,350.0,Handbuilding with Mandy Henson| Tues 9:30-11:30 | 9/10-10/15| Fall 2024,Dix Hills
Fall 2024,2024-09-12,473.0,Beyond Beginner 202 Ceramics with Amy Tischler | Thurs 6-9 pm | 9/12 - 10/17 | Fall 2024,
Fall 2024,2024-09-10,280.0,Pastels: Beginning and Beyond with Marlene Bezich | Tuesdays 1:30-3:30pm | 9/10-10/15 | Fall 2024,Melville
Fall 2024,2024-10-29,528.0,Intermediate Silversmithing with Marla Mencher | Tues 9:30am-12:30 pm | 10/29-12/17 | Fall 2024,Floral Park
Fall 2024,2024-11-02,395.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 11/2-11/23 | Fall 2024,Forest Hills
Fall 2024,2024-11-02,395.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 11/2-11/23 | Fall 2024,Bay Shore
Fall 2024,2024-09-11,280.0,Landscape and Nature Photography with Keith Krejci | Wed 6:30-8:30pm | 9/11-10/16 | Fall 2024,Centereach
Fall 2024,2024-09-10,206.0,Open Studio Long Poses with Donna Harlow Moraff | Tue 1pm-4pm | 9/10-10/15 | Fall 2024,West Babylon
Fall 2024,2024-10-22,194.0,Pastels: Beginning and Beyond with Marlene Bezich | Tuesdays 1:30-3:30pm | 10/22-11/19 | Fall 2024,Locust Valley
Fall 2024,2024-09-11,465.0,Wax Carving Intensive with Jen Salta| Wednesday 6-9 pm | 9/11 - 10/16 | Fall 2024,Port Jefferson
Fall 2024,2024-09-12,327.0,Pastels: Beginning and Beyond with Marlene Bezich | Thursdays 6-9pm | 9/12-10/17 | Fall 2024,
Fall 2024,2024-09-10,280.0,Beginner Watercolor with Liz Fusco | Tues 6:30-8:30pm | 9/10-10/15 | Fall 2024,East Northport
Fall 2024,2024-09-21,395.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 9/21-10/19| Fall 2024,Oceanside
Fall 2024,2024-09-10,245.0,Creative Cartooning & Realistic Drawing with Lori Hochberg | Ages 8-12 |Tues |5:30-7:00pm| 9/12-10/17 | Fall 2024,Plainview
Fall 2024,2024-09-25,0.0,Create Nights - Sewing 101 Moderated by Rob Stenzel | 9/25 | 7pm-9pm | Fall 2024,Baldwin Harbor
Fall 2024,2024-09-10,245.0,Creative Cartooning & Realistic Drawing with Lori Hochberg | Ages 8-12 |Tues |5:30-7:00pm| 9/12-10/17 | Fall 2024,Greenlawn
Fall 2024,2024-09-25,0.0,Create Nights - Sewing 101 Moderated by Rob Stenzel | 9/25 | 7pm-9pm | Fall 2024,commack
Fall 2024,2024-09-12,225.0,Wheel Throwing for Teens with Ruth Lowenberg | Thursdays 3:30pm-5:00pm | 9/12-10/17 | Fall 2024,Commack
Fall 2024,2024-09-14,155.0,Book and Brush Painting with Rachel Woelfel | Ages 5-7 | Saturdays 11:30am-12:30pm | 9/14-10/19 | Fall 2024,Dix Hills
Fall 2024,2024-09-12,175.0,Open Studio w/Model - Short Pose | Linda Gottlieb | Thurs 10:30am-1:30pm | 9/12-10/17 | Fall 2024,Oakdale
Fall 2024,2024-09-10,280.0,Intermediate Watercolor with Liz Fusco | Tues 9am-11am | 9/10-10/15 | Fall 2024,Seaford
Fall 2024,2024-09-10,448.0,Beginners 101 Ceramics with Amy Tischler | Tues 6-9 pm | 9/10 - 10/15 | Fall 2024,Huntington
Fall 2024,2024-09-14,448.0,Atelier Drawing and Painting with Bill Graf | Saturdays 10am-1pm | 9/14-10/19 | Fall 2024,Miller place
Fall 2024,2024-09-13,430.0,The World of Watercolor with Ross Barbera | Fri 10am-1pm | 9/13-10/18 | Fall 2024,Huntington
Fall 2024,2024-09-25,0.0,Create Nights - Sewing 101 Moderated by Rob Stenzel | 9/25 | 7pm-9pm | Fall 2024,Long Beach
Fall 2024,2024-09-13,498.0,Intermediate Wheel Throwing with Jesus Antoshka | Fridays 10am-1pm | 9/13-10/18 | Fall 2024,Huntington
Fall 2024,2024-09-12,175.0,Open Studio w/Model - Short Pose | Linda Gottlieb | Thurs 10:30am-1:30pm | 9/12-10/17 | Fall 2024,Old Bethpage
Fall 2024,2024-09-10,280.0,Pastels: Beginning and Beyond with Marlene Bezich | Tuesdays 1:30-3:30pm | 9/10-10/15 | Fall 2024,Dix Hills
Fall 2024,2024-09-12,430.0,The Painter's Path with David Peikon | Thursdays 1:30-4:30pm | 9/12-10/17 | Fall 2024,South Huntington
Fall 2024,2024-11-02,395.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 11/2-11/23 | Fall 2024,Huntington Station
Fall 2024,2024-10-29,528.0,Intermediate Silversmithing with Marla Mencher | Tues 9:30am-12:30 pm | 10/29-12/17 | Fall 2024,Mount Sinai
Fall 2024,2024-10-22,194.0,Pastels: Beginning and Beyond with Marlene Bezich | Tuesdays 1:30-3:30pm | 10/22-11/19 | Fall 2024,Mount Sinai
Fall 2024,2024-09-11,448.0,Handbuilding - Plan to Technique with Laura Peters | Wed 1-4pm | 9/11-10/16| Fall 2024,Long Beach
Fall 2024,2024-09-14,215.0,Young Artists Ceramic Hand Building with Rachel Woelfel | Ages 6-10 | Saturday 9:30-11am | 9/14 - 10/19 | Fall 2024,Northport
Fall 2024,2024-09-11,175.0,Open Studio w/Model - Short Pose | Linda Gottlieb | Weds 6pm-9pm | 9/11-10/16 | Fall 2024,Kings Park
Fall 2024,2024-09-12,175.0,Open Studio w/Model - Short Pose | Linda Gottlieb | Thurs 10:30am-1:30pm | 9/12-10/17 | Fall 2024,Kings Park
Fall 2024,2024-09-12,270.0,Figure Construction & Anatomy with Stu Yellin | Thursdays 6:00-9:00pm | 9/12-10/24 | Fall 2024,Dix Hills
Fall 2024,2024-09-13,498.0,Intermediate Wheel Throwing with Jesus Antoshka | Fridays 10am-1pm | 9/13-10/18 | Fall 2024,Huntington
Fall 2024,2024-10-31,317.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 10/31-11/21 | Fall 2024,South Setauket
Fall 2024,2024-09-12,175.0,Open Studio w/Model - Short Pose | Linda Gottlieb | Thurs 10:30am-1:30pm | 9/12-10/17 | Fall 2024,Westbury
Fall 2024,2024-09-12,430.0,The Painter's Path with David Peikon | Thursdays 1:30-4:30pm | 9/12-10/17 | Fall 2024,Plainview
Fall 2024,2024-09-12,430.0,Abstract Painting: Acrylics with Kevin Larkin |Thursdays 2-5pm| 9/12-10-17 | Fall 2024,Nesconset
Fall 2024,2024-09-12,270.0,Figure Construction & Anatomy with Stu Yellin | Thursdays 6:00-9:00pm | 9/12-10/24 | Fall 2024,East Meadow
Fall 2024,2024-11-02,395.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 11/2-11/23 | Fall 2024,BOHEMIA
Fall 2024,2024-09-11,465.0,Wax Carving Intensive with Jen Salta| Wednesday 6-9 pm | 9/11 - 10/16 | Fall 2024,BOHEMIA
Fall 2024,2024-09-14,155.0,Book and Brush Painting with Rachel Woelfel | Ages 5-7 | Saturdays 11:30am-12:30pm | 9/14-10/19 | Fall 2024,Dix hills
Fall 2024,2024-09-14,155.0,Book and Brush Painting with Rachel Woelfel | Ages 5-7 | Saturdays 11:30am-12:30pm | 9/14-10/19 | Fall 2024,East Northport
Fall 2024,2024-09-10,280.0,Beginner Watercolor with Liz Fusco | Tues 6:30-8:30pm | 9/10-10/15 | Fall 2024,Greenlawn
Fall 2024,2024-09-12,430.0,Abstract Painting: Acrylics with Kevin Larkin |Thursdays 2-5pm| 9/12-10-17 | Fall 2024,Bay Shore
Fall 2024,2024-12-14,210.0,Spinner Rings Workshop with Marla Mencher | Saturday 12/14 & 12/21 | 9:30 am-1:30 pm | Fall 2024,Rockville Centre
Fall 2024,2024-09-13,430.0,The World of Watercolor with Ross Barbera | Fri 10am-1pm | 9/13-10/18 | Fall 2024,
Fall 2024,2024-12-05,237.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 12/5-12/19 | Fall 2024,Northport
Fall 2024,2024-09-13,430.0,The World of Watercolor with Ross Barbera | Fri 10am-1pm | 9/13-10/18 | Fall 2024,PLAINVIEW
Fall 2024,2024-09-12,430.0,The Painter's Path with David Peikon | Thursdays 10am-1pm | 9/12-10/17 |Fall 2024,Mineola
Fall 2024,2024-09-28,55.0,Mixed Media Potluck Workshop with Derek Owens | Saturday 9/28 1-4pm| Fall 2024,Hauppauge
Fall 2024,2024-10-25,10.0,Art Club: Memories of Summer Pt. 2 with Teresa Simeone Friday 10/25 10am-1pm,Middle Island
Fall 2024,2024-09-28,55.0,Mixed Media Potluck Workshop with Derek Owens | Saturday 9/28 1-4pm| Fall 2024,Middle Island
Fall 2024,2024-11-26,194.0,Fundamentals of Drawing with Liz Fusco | Tuesdays 11:30am-1:30pm | 11/26-12/17 | Fall 2024,Centerport
Fall 2024,2024-09-25,0.0,Create Nights - Sewing 101 Moderated by Rob Stenzel | 9/25 | 7pm-9pm | Fall 2024,DIX HILLS
Fall 2024,2024-09-25,0.0,Create Nights - Sewing 101 Moderated by Rob Stenzel | 9/25 | 7pm-9pm | Fall 2024,Brentwood
Fall 2024,2024-09-28,55.0,Mixed Media Potluck Workshop with Derek Owens | Saturday 9/28 1-4pm| Fall 2024,selden
